카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년11월_남_연령구간인구수,"33,346","12,031","1,463","1,559","1,376","2,951","1,345",928,"1,468",996,"1,193","2,330","1,885","1,987","1,834"
2021년11월_남_0~9세,"1,832","1,092",38,59,33,128,38,20,45,29,36,82,82,90,60
2021년11월_남_10~19세,"2,559","1,435",80,54,66,176,82,38,84,46,75,124,91,116,92
2021년11월_남_20~29세,"3,058","1,490",113,99,100,269,100,66,102,48,80,168,125,160,138
2021년11월_남_30~39세,"2,469","1,180",99,115,74,208,58,37,69,44,54,152,131,117,131
2021년11월_남_40~49세,"4,239","1,783",154,177,131,352,145,96,180,123,149,231,262,210,246
2021년11월_남_50~59세,"6,350","2,147",302,306,275,566,257,191,294,172,263,447,365,391,374
2021년11월_남_60~69세,"6,396","1,651",331,333,327,603,291,214,304,237,238,582,411,446,428
2021년11월_남_70~79세,"4,329",905,227,281,248,434,242,161,240,171,191,369,287,325,248
2021년11월_남_80~89세,"1,954",319,106,128,113,207,115,101,138,114,96,161,126,123,107
2021년11월_남_90~99세,160,29,13,7,9,8,17,4,12,12,11,14,5,9,10
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"33,982","12,470","1,437","1,583","1,386","3,069","1,421","1,016","1,461","1,104","1,149","2,403","1,810","1,970","1,703"
2021년11월_여_연령구간인구수,"33,982","12,470","1,437","1,583","1,386","3,069","1,421","1,016","1,461","1,104","1,149","2,403","1,810","1,970","1,703"
2021년11월_여_0~9세,"1,785","1,065",40,56,28,137,43,16,36,36,25,86,81,80,56
2021년11월_여_10~19세,"2,432","1,414",61,56,58,169,80,38,68,36,53,107,94,105,93
2021년11월_여_20~29세,"2,322","1,225",90,94,51,169,76,56,87,31,51,97,92,95,108
2021년11월_여_30~39세,"2,154","1,219",60,65,46,149,54,27,53,48,38,106,101,110,78
2021년11월_여_40~49세,"3,392","1,935",97,96,88,255,91,54,112,72,70,153,110,142,117
2021년11월_여_50~59세,"5,028","1,963",246,208,204,487,195,130,210,125,148,353,241,281,237
2021년11월_여_60~69세,"6,308","1,727",296,347,308,655,301,202,259,236,229,591,354,437,366
2021년11월_여_70~79세,"5,531","1,118",297,351,311,531,311,249,299,220,267,466,392,387,332
2021년11월_여_80~89세,"4,262",684,205,277,248,454,241,207,275,260,219,373,281,278,260
2021년11월_여_90~99세,737,118,43,32,42,60,29,37,59,38,48,66,62,53,50
2021년11월_여_100세 이상,31,2,2,1,2,3,0,0,3,2,1,5,2,2,6
2021년12월_계_총인구수,"67,166","24,523","2,882","3,130","2,759","6,004","2,767","1,949","2,925","2,096","2,339","4,645","3,674","3,939","3,534"
2021년12월_계_연령구간인구수,"67,166","24,523","2,882","3,130","2,759","6,004","2,767","1,949","2,925","2,096","2,339","4,645","3,674","3,939","3,534"
2021년12월_계_0~9세,"3,598","2,148",78,116,59,262,80,44,81,64,59,167,162,162,116
2021년12월_계_10~19세,"4,971","2,847",138,112,122,348,159,71,147,81,127,229,186,222,182
2021년12월_계_20~29세,"5,379","2,736",203,186,152,430,178,124,190,79,130,263,213,247,248
2021년12월_계_30~39세,"4,585","2,370",157,179,116,361,113,67,121,93,92,254,230,224,208
2021년12월_계_40~49세,"7,606","3,738",243,268,217,599,238,152,287,191,213,375,373,352,360
2021년12월_계_50~59세,"11,350","4,117",543,519,477,"1,047",448,318,505,304,412,781,596,669,614
2021년12월_계_60~69세,"12,704","3,379",628,676,642,"1,262",595,415,568,475,472,"1,151",764,886,791
2021년12월_계_70~79세,"9,829","2,027",527,634,557,959,550,409,533,387,459,822,675,708,582
2021년12월_계_80~89세,"6,232","1,011",310,400,364,664,360,308,420,372,315,528,410,403,367
2021년12월_계_90~99세,888,148,53,39,51,69,46,41,70,48,59,75,62,64,63
2021년12월_계_100세 이상,24,2,2,1,2,3,0,0,3,2,1,0,3,2,3
2021년12월_남_총인구수,"33,273","12,032","1,447","1,550","1,374","2,950","1,344",932,"1,467",994,"1,190","2,301","1,879","1,975","1,838"
2021년12월_남_연령구간인구수,"33,273","12,032","1,447","1,550","1,374","2,950","1,344",932,"1,467",994,"1,190","2,301","1,879","1,975","1,838"
2021년12월_남_0~9세,"1,821","1,085",38,59,31,129,38,24,43,27,36,83,82,86,60
2021년12월_남_10~19세,"2,551","1,436",76,55,66,179,81,37,83,45,73,123,92,116,89
2021년12월_남_20~29세,"3,057","1,496",114,98,100,263,100,67,103,49,80,166,123,156,142
2021년12월_남_30~39세,"2,447","1,160",97,114,72,209,59,38,70,45,56,149,131,116,131
2021년12월_남_40~49세,"4,219","1,789",149,171,131,350,146,97,178,119,145,232,261,211,240
2021년12월_남_50~59세,"6,349","2,158",296,310,275,566,255,189,294,176,264,439,359,389,379
2021년12월_남_60~69세,"6,391","1,650",330,331,331,605,292,214,305,239,237,571,412,445,429
2021년12월_남_70~79세,"4,324",910,230,279,244,430,241,160,238,171,192,368,288,325,248
2021년12월_남_80~89세,"1,957",321,104,126,116,211,116,102,140,112,96,156,127,121,109
2021년12월_남_90~99세,157,27,13,7,8,8,16,4,13,11,11,14,4,10,11
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"33,893","12,491","1,435","1,580","1,385","3,054","1,423","1,017","1,458","1,102","1,149","2,344","1,795","1,964","1,696"
2021년12월_여_연령구간인구수,"33,893","12,491","1,435","1,580","1,385","3,054","1,423","1,017","1,458","1,102","1,149","2,344","1,795","1,964","1,696"
2021년12월_여_0~9세,"1,777","1,063",40,57,28,133,42,20,38,37,23,84,80,76,56
2021년12월_여_10~19세,"2,420","1,411",62,57,56,169,78,34,64,36,54,106,94,106,93
2021년12월_여_20~29세,"2,322","1,240",89,88,52,167,78,57,87,30,50,97,90,91,106
2021년12월_여_30~39세,"2,138","1,210",60,65,44,152,54,29,51,48,36,105,99,108,77
2021년12월_여_40~49세,"3,387","1,949",94,97,86,249,92,55,109,72,68,143,112,141,120
2021년12월_여_50~59세,"5,001","1,959",247,209,202,481,193,129,211,128,148,342,237,280,235
2021년12월_여_60~69세,"6,313","1,729",298,345,311,657,303,201,263,236,235,580,352,441,362
2021년12월_여_70~79세,"5,505","1,117",297,355,313,529,309,249,295,216,267,454,387,383,334
2021년12월_여_80~89세,"4,275",690,206,274,248,453,244,206,280,260,219,372,283,282,258
2021년12월_여_90~99세,731,121,40,32,43,61,30,37,57,37,48,61,58,54,52
2021년12월_여_100세 이상,24,2,2,1,2,3,0,0,3,2,1,0,3,2,3
