카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 상현3동
2020년07월_남_70~79세,"29,873","7,370",814,888,663,768,472,450,576,644,860,791,444,"11,847","1,036",,533,358,878,403,"1,009",689,348,"1,406","1,266",581,558,765,,666,"1,351","10,656","1,023",695,"1,264","1,474",492,"1,199","1,286","1,145","2,078",,,,,
2020년07월_남_80~89세,"11,110","2,652",334,316,246,212,169,229,204,239,287,282,134,"4,461",421,,139,210,251,175,356,226,120,569,511,241,202,306,,240,494,"3,997",385,367,501,634,178,379,485,410,658,,,,,
2020년07월_남_90~99세,"1,047",256,20,24,22,27,22,23,25,22,26,24,21,429,42,,13,46,22,8,38,13,9,43,54,28,20,30,,18,45,362,37,33,31,58,27,34,38,46,58,,,,,
2020년07월_남_100세 이상,36,12,0,2,1,0,0,1,1,5,2,0,0,16,3,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,8,2,2,0,0,0,0,2,0,2,,,,,
2020년07월_여_총인구수,"541,196","125,251","16,000","12,275","9,867","11,572","3,921","4,173","9,169","12,086","22,058","17,757","6,373","223,242","19,540",,"15,460","8,792","21,223","6,547","16,931","10,704","12,538","20,411","16,601","17,082","13,956","11,998",,"12,812","18,647","192,703","18,565","21,437","19,684","29,547","9,433","24,897","25,319","17,604","26,217",,,,,
2020년07월_여_연령구간인구수,"541,196","125,251","16,000","12,275","9,867","11,572","3,921","4,173","9,169","12,086","22,058","17,757","6,373","223,242","19,540",,"15,460","8,792","21,223","6,547","16,931","10,704","12,538","20,411","16,601","17,082","13,956","11,998",,"12,812","18,647","192,703","18,565","21,437","19,684","29,547","9,433","24,897","25,319","17,604","26,217",,,,,
2020년07월_여_0~9세,"50,681","10,596","1,170",924,815,"1,577",168,103,631,808,"2,412","1,634",354,"21,569","1,743",,"1,790",953,"2,156",468,"1,506",958,"1,644","1,701","1,346","1,847","1,324","1,459",,"1,001","1,673","18,516","1,398","2,422","1,842","2,642",760,"2,813","2,468","1,683","2,488",,,,,
2020년07월_여_10~19세,"59,986","12,596","1,796","1,133",870,915,271,480,"1,193","1,069","2,180","2,152",537,"24,887","1,784",,"1,736",623,"1,719",661,"2,116","1,019","1,208","2,353","1,511","2,813","2,304","1,462",,"1,372","2,206","22,503","1,834","2,871","2,588","3,612",777,"2,586","3,103","2,071","3,061",,,,,
2020년07월_여_20~29세,"65,697","15,568","2,032","1,434",897,958,332,356,"1,029","2,069","3,366","2,236",859,"27,038","2,588",,"1,766","1,176","3,414",922,"1,957","1,153","1,999","2,064","2,011","1,718","1,499","1,130",,"1,648","1,993","23,091","2,655","2,499","1,969","3,892","1,404","2,750","3,281","1,956","2,685",,,,,
2020년07월_여_30~39세,"75,031","16,195","1,849","1,476","1,089","2,161",302,287,"1,007","1,452","3,685","2,263",624,"31,227","3,026",,"2,488","1,582","4,014",872,"2,062","1,413","2,330","2,299","2,148","1,969","1,468","1,710",,"1,510","2,336","27,609","2,930","3,416","2,243","3,798","1,661","4,272","3,659","2,344","3,286",,,,,
2020년07월_여_40~49세,"101,520","20,529","2,901","2,005","1,526","1,772",470,409,"1,405","1,844","3,785","3,423",989,"42,992","3,346",,"3,058","1,365","3,469","1,169","3,339","1,909","2,122","4,065","2,793","4,169","3,416","2,507",,"2,387","3,878","37,999","3,208","4,683","4,345","5,778","1,571","4,811","4,949","3,457","5,197",,,,,
2020년07월_여_50~59세,"79,719","20,680","2,721","2,091","1,765","1,560",759,737,"1,629","2,079","3,189","2,857","1,293","32,328","3,039",,"2,326","1,412","3,179","1,038","2,474","1,747","1,651","2,898","2,571","2,115","1,911","1,294",,"2,153","2,520","26,711","2,680","2,647","2,701","4,318","1,446","3,389","3,453","2,492","3,585",,,,,
2020년07월_여_60~69세,"54,322","15,019","1,765","1,692","1,461","1,431",787,795,"1,180","1,464","1,884","1,621",939,"21,546","1,993",,"1,320",849,"1,786",651,"1,749","1,373",898,"2,408","1,967","1,154",992,"1,143",,"1,403","1,860","17,757","1,898","1,244","1,868","2,657",923,"2,343","2,174","1,673","2,977",,,,,
2020년07월_여_70~79세,"35,428","8,541","1,075",967,838,747,461,524,606,807,999,"1,014",503,"14,299","1,338",,606,385,"1,004",514,"1,175",734,453,"1,777","1,524",880,671,893,,859,"1,486","12,588","1,294","1,049","1,498","1,865",559,"1,345","1,526","1,350","2,102",,,,,
2020년07월_여_80~89세,"15,697","4,604",600,462,493,372,312,406,389,410,454,484,222,"6,159",585,,310,346,397,220,471,325,200,690,625,356,310,349,,400,575,"4,934",573,529,531,834,273,468,567,479,680,,,,,
2020년07월_여_90~99세,"2,958",865,90,86,106,74,55,72,91,77,97,70,47,"1,146",93,,58,100,79,31,76,70,32,151,101,59,58,51,,74,113,947,84,74,97,146,58,116,131,93,148,,,,,
2020년07월_여_100세 이상,157,58,1,5,7,5,4,4,9,7,7,3,6,51,5,,2,1,6,1,6,3,1,5,4,2,3,0,,5,7,48,11,3,2,5,1,4,8,6,8,,,,,
2020년08월_계_총인구수,"1,075,659","258,291","33,271","25,852","20,157","23,385","8,253","9,298","20,186","24,469","44,404","35,854","13,162","441,109","38,948",,"30,815","17,501","42,341","13,514","33,656","21,207","25,701","39,466","32,473","33,004","27,338","23,451",,"25,032","36,662","376,259","36,899","41,943","38,330","57,055","18,567","49,342","48,930","34,175","51,018",,,,,
2020년08월_계_연령구간인구수,"1,075,659","258,291","33,271","25,852","20,157","23,385","8,253","9,298","20,186","24,469","44,404","35,854","13,162","441,109","38,948",,"30,815","17,501","42,341","13,514","33,656","21,207","25,701","39,466","32,473","33,004","27,338","23,451",,"25,032","36,662","376,259","36,899","41,943","38,330","57,055","18,567","49,342","48,930","34,175","51,018",,,,,
2020년08월_계_0~9세,"102,947","21,519","2,367","1,936","1,611","3,199",341,235,"1,307","1,606","4,970","3,237",710,"43,937","3,468",,"3,636","1,909","4,451","1,026","3,156","1,874","3,278","3,435","2,783","3,627","2,742","3,002",,"2,070","3,480","37,491","2,838","4,833","3,669","5,278","1,551","5,827","4,885","3,456","5,154",,,,,
2020년08월_계_10~19세,"124,029","27,210","3,909","2,348","1,809","1,810",586,"1,260","3,202","2,214","4,489","4,407","1,176","51,217","3,684",,"3,573","1,285","3,478","1,310","4,390","2,146","2,450","4,888","3,120","5,738","4,742","2,996",,"2,855","4,562","45,602","3,744","5,845","5,301","7,186","1,607","5,331","6,236","4,271","6,081",,,,,
2020년08월_계_20~29세,"136,766","34,327","4,702","3,266","2,120","1,987",758,913,"2,483","4,334","7,031","4,833","1,900","56,051","5,162",,"3,790","2,492","6,678","1,960","3,981","2,472","4,805","4,267","4,095","3,474","3,066","2,233",,"3,419","4,157","46,388","5,464","4,930","4,094","7,830","2,824","5,549","6,372","3,870","5,455",,,,,
2020년08월_계_30~39세,"147,568","34,126","3,988","3,070","2,344","4,262",740,748,"2,313","3,173","7,457","4,604","1,427","60,889","6,291",,"4,881","3,235","8,049","1,915","4,034","2,801","4,657","4,357","4,207","3,512","2,561","3,186",,"2,904","4,299","52,553","6,248","6,360","4,146","7,110","3,322","8,077","6,923","4,412","5,955",,,,,
2020년08월_계_40~49세,"200,620","43,424","6,020","4,400","3,335","4,007","1,084","1,033","3,071","3,882","7,719","6,828","2,045","84,333","6,712",,"6,046","2,768","7,110","2,435","6,596","3,803","4,384","7,828","5,451","7,986","6,332","4,960",,"4,552","7,370","72,863","6,197","9,107","8,084","11,047","3,051","9,533","9,398","6,602","9,844",,,,,
2020년08월_계_50~59세,"163,261","42,992","5,797","4,593","3,716","3,116","1,618","1,649","3,392","4,179","6,298","6,038","2,596","65,728","6,222",,"4,720","2,720","6,467","2,262","5,060","3,454","3,191","5,751","5,039","4,475","4,161","2,648",,"4,325","5,233","54,541","5,417","5,710","5,677","8,596","2,861","6,926","7,022","4,982","7,350",,,,,
2020년08월_계_60~69세,"103,834","30,258","3,545","3,488","2,837","2,792","1,627","1,751","2,516","2,860","3,694","3,219","1,929","40,427","3,856",,"2,497","1,641","3,475","1,251","3,297","2,598","1,762","4,291","3,687","2,048","1,914","1,996",,"2,640","3,474","33,149","3,569","2,394","3,419","4,984","1,754","4,537","4,062","3,034","5,396",,,,,
2020년08월_계_70~79세,"65,414","15,935","1,896","1,856","1,501","1,518",934,967,"1,183","1,451","1,869","1,811",949,"26,155","2,399",,"1,143",746,"1,868",914,"2,184","1,420",802,"3,189","2,792","1,458","1,222","1,658",,"1,527","2,833","23,324","2,328","1,751","2,772","3,352","1,058","2,554","2,791","2,505","4,213",,,,,
2020년08월_계_80~89세,"26,961","7,288",931,771,745,589,480,643,593,657,748,774,357,"10,705","1,010",,455,557,650,395,834,552,328,"1,259","1,133",599,512,690,,642,"1,089","8,968",957,900,"1,035","1,464",451,851,"1,063",896,"1,351",,,,,
2020년08월_계_90~99세,"4,063","1,141",116,116,130,99,81,94,116,101,120,100,68,"1,599",135,,72,146,108,44,116,84,42,195,161,84,81,81,,93,157,"1,323",124,108,131,203,86,153,168,141,209,,,,,
2020년08월_계_100세 이상,196,71,0,8,9,6,4,5,10,12,9,3,5,68,9,,2,2,7,2,8,3,2,6,5,3,5,1,,5,8,57,13,5,2,5,2,4,10,6,10,,,,,
2020년08월_남_총인구수,"534,140","132,798","17,234","13,586","10,298","11,786","4,298","5,019","10,993","12,408","22,278","18,099","6,799","217,948","19,453",,"15,329","8,695","21,119","6,981","16,713","10,504","13,151","19,080","15,878","15,918","13,440","11,403",,"12,257","18,027","183,394","18,343","20,554","18,628","27,555","9,161","24,337","23,661","16,628","24,527",,,,,
2020년08월_남_연령구간인구수,"534,140","132,798","17,234","13,586","10,298","11,786","4,298","5,019","10,993","12,408","22,278","18,099","6,799","217,948","19,453",,"15,329","8,695","21,119","6,981","16,713","10,504","13,151","19,080","15,878","15,918","13,440","11,403",,"12,257","18,027","183,394","18,343","20,554","18,628","27,555","9,161","24,337","23,661","16,628","24,527",,,,,
2020년08월_남_0~9세,"52,577","10,968","1,203","1,014",804,"1,617",172,133,675,807,"2,562","1,617",364,"22,559","1,744",,"1,846",967,"2,294",555,"1,655",935,"1,646","1,763","1,445","1,809","1,431","1,554",,"1,090","1,825","19,050","1,455","2,437","1,841","2,650",805,"3,014","2,437","1,797","2,614",,,,,
2020년08월_남_10~19세,"64,005","14,515","2,092","1,223",941,886,298,704,"2,004","1,139","2,312","2,272",644,"26,369","1,904",,"1,846",660,"1,770",660,"2,270","1,133","1,244","2,528","1,616","2,913","2,441","1,535",,"1,488","2,361","23,121","1,922","2,974","2,718","3,602",835,"2,732","3,159","2,200","2,979",,,,,
2020년08월_남_20~29세,"70,918","18,696","2,654","1,831","1,221","1,034",423,542,"1,446","2,291","3,619","2,588","1,047","28,992","2,593",,"2,001","1,309","3,263","1,039","2,029","1,328","2,780","2,211","2,094","1,753","1,587","1,087",,"1,761","2,157","23,230","2,802","2,437","2,112","3,918","1,419","2,791","3,069","1,934","2,748",,,,,
2020년08월_남_30~39세,"72,820","18,004","2,156","1,609","1,264","2,115",435,457,"1,305","1,726","3,785","2,347",805,"29,812","3,281",,"2,410","1,658","4,047","1,042","1,969","1,383","2,337","2,089","2,050","1,556","1,098","1,481",,"1,416","1,995","25,004","3,315","2,973","1,909","3,357","1,671","3,792","3,291","2,074","2,622",,,,,
2020년08월_남_40~49세,"99,207","22,915","3,122","2,395","1,822","2,213",609,628,"1,670","2,044","3,921","3,437","1,054","41,367","3,370",,"2,986","1,398","3,644","1,267","3,271","1,908","2,258","3,760","2,660","3,809","2,941","2,442",,"2,168","3,485","34,925","3,009","4,438","3,748","5,279","1,496","4,711","4,466","3,165","4,613",,,,,
2020년08월_남_50~59세,"83,170","22,252","3,065","2,501","1,944","1,557",864,901,"1,768","2,092","3,108","3,151","1,301","33,260","3,179",,"2,372","1,297","3,278","1,228","2,567","1,690","1,543","2,835","2,475","2,344","2,244","1,347",,"2,166","2,695","27,658","2,731","3,049","2,957","4,259","1,406","3,493","3,558","2,485","3,720",,,,,
2020년08월_남_60~69세,"49,252","15,141","1,768","1,784","1,368","1,352",834,952,"1,319","1,397","1,797","1,585",985,"18,789","1,869",,"1,180",788,"1,669",603,"1,539","1,200",861,"1,873","1,706",884,918,841,,"1,238","1,620","15,322","1,652","1,148","1,544","2,316",827,"2,188","1,874","1,359","2,414",,,,,
2020년08월_남_70~79세,"29,927","7,380",818,888,665,769,472,451,578,640,861,794,444,"11,853","1,046",,534,361,875,403,"1,014",685,348,"1,409","1,267",581,554,765,,669,"1,342","10,694","1,035",693,"1,263","1,484",494,"1,200","1,282","1,156","2,087",,,,,
2020년08월_남_80~89세,"11,152","2,655",332,314,247,217,169,227,202,245,285,283,134,"4,485",420,,141,208,252,174,358,229,123,568,508,240,203,318,,241,502,"4,012",382,369,503,630,181,380,486,411,670,,,,,
2020년08월_남_90~99세,"1,076",259,24,25,21,25,22,23,25,22,26,25,21,446,44,,13,48,26,9,39,13,10,43,55,29,21,32,,20,44,371,38,34,33,60,27,36,38,47,58,,,,,
2020년08월_남_100세 이상,36,13,0,2,1,1,0,1,1,5,2,0,0,16,3,,0,1,1,1,2,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,1,0,2,,,,,
2020년08월_여_총인구수,"541,519","125,493","16,037","12,266","9,859","11,599","3,955","4,279","9,193","12,061","22,126","17,755","6,363","223,161","19,495",,"15,486","8,806","21,222","6,533","16,943","10,703","12,550","20,386","16,595","17,086","13,898","12,048",,"12,775","18,635","192,865","18,556","21,389","19,702","29,500","9,406","25,005","25,269","17,547","26,491",,,,,
2020년08월_여_연령구간인구수,"541,519","125,493","16,037","12,266","9,859","11,599","3,955","4,279","9,193","12,061","22,126","17,755","6,363","223,161","19,495",,"15,486","8,806","21,222","6,533","16,943","10,703","12,550","20,386","16,595","17,086","13,898","12,048",,"12,775","18,635","192,865","18,556","21,389","19,702","29,500","9,406","25,005","25,269","17,547","26,491",,,,,
2020년08월_여_0~9세,"50,370","10,551","1,164",922,807,"1,582",169,102,632,799,"2,408","1,620",346,"21,378","1,724",,"1,790",942,"2,157",471,"1,501",939,"1,632","1,672","1,338","1,818","1,311","1,448",,980,"1,655","18,441","1,383","2,396","1,828","2,628",746,"2,813","2,448","1,659","2,540",,,,,
2020년08월_여_10~19세,"60,024","12,695","1,817","1,125",868,924,288,556,"1,198","1,075","2,177","2,135",532,"24,848","1,780",,"1,727",625,"1,708",650,"2,120","1,013","1,206","2,360","1,504","2,825","2,301","1,461",,"1,367","2,201","22,481","1,822","2,871","2,583","3,584",772,"2,599","3,077","2,071","3,102",,,,,
2020년08월_여_20~29세,"65,848","15,631","2,048","1,435",899,953,335,371,"1,037","2,043","3,412","2,245",853,"27,059","2,569",,"1,789","1,183","3,415",921,"1,952","1,144","2,025","2,056","2,001","1,721","1,479","1,146",,"1,658","2,000","23,158","2,662","2,493","1,982","3,912","1,405","2,758","3,303","1,936","2,707",,,,,
2020년08월_여_30~39세,"74,748","16,122","1,832","1,461","1,080","2,147",305,291,"1,008","1,447","3,672","2,257",622,"31,077","3,010",,"2,471","1,577","4,002",873,"2,065","1,418","2,320","2,268","2,157","1,956","1,463","1,705",,"1,488","2,304","27,549","2,933","3,387","2,237","3,753","1,651","4,285","3,632","2,338","3,333",,,,,
2020년08월_여_40~49세,"101,413","20,509","2,898","2,005","1,513","1,794",475,405,"1,401","1,838","3,798","3,391",991,"42,966","3,342",,"3,060","1,370","3,466","1,168","3,325","1,895","2,126","4,068","2,791","4,177","3,391","2,518",,"2,384","3,885","37,938","3,188","4,669","4,336","5,768","1,555","4,822","4,932","3,437","5,231",,,,,
2020년08월_여_50~59세,"80,091","20,740","2,732","2,092","1,772","1,559",754,748,"1,624","2,087","3,190","2,887","1,295","32,468","3,043",,"2,348","1,423","3,189","1,034","2,493","1,764","1,648","2,916","2,564","2,131","1,917","1,301",,"2,159","2,538","26,883","2,686","2,661","2,720","4,337","1,455","3,433","3,464","2,497","3,630",,,,,
2020년08월_여_60~69세,"54,582","15,117","1,777","1,704","1,469","1,440",793,799,"1,197","1,463","1,897","1,634",944,"21,638","1,987",,"1,317",853,"1,806",648,"1,758","1,398",901,"2,418","1,981","1,164",996,"1,155",,"1,402","1,854","17,827","1,917","1,246","1,875","2,668",927,"2,349","2,188","1,675","2,982",,,,,
2020년08월_여_70~79세,"35,487","8,555","1,078",968,836,749,462,516,605,811,"1,008","1,017",505,"14,302","1,353",,609,385,993,511,"1,170",735,454,"1,780","1,525",877,668,893,,858,"1,491","12,630","1,293","1,058","1,509","1,868",564,"1,354","1,509","1,349","2,126",,,,,
2020년08월_여_80~89세,"15,809","4,633",599,457,498,372,311,416,391,412,463,491,223,"6,220",590,,314,349,398,221,476,323,205,691,625,359,309,372,,401,587,"4,956",575,531,532,834,270,471,577,485,681,,,,,
2020년08월_여_90~99세,"2,987",882,92,91,109,74,59,71,91,79,94,75,47,"1,153",91,,59,98,82,35,77,71,32,152,106,55,60,49,,73,113,952,86,74,98,143,59,117,130,94,151,,,,,
2020년08월_여_100세 이상,160,58,0,6,8,5,4,4,9,7,7,3,5,52,6,,2,1,6,1,6,3,1,5,3,3,3,0,,5,7,50,11,3,2,5,2,4,9,6,8,,,,,
2020년09월_계_총인구수,"1,075,697","258,455","33,298","25,913","20,193","23,379","8,231","9,158","20,276","24,482","44,521","35,880","13,124","440,923","38,896",,"30,800","17,553","42,255","13,481","33,640","21,281","25,695","39,459","32,486","33,026","27,301","23,450",,"24,967","36,633","376,319","36,835","41,889","38,330","57,050","18,500","49,396","48,854","34,169","51,296",,,,,
2020년09월_계_연령구간인구수,"1,075,697","258,455","33,298","25,913","20,193","23,379","8,231","9,158","20,276","24,482","44,521","35,880","13,124","440,923","38,896",,"30,800","17,553","42,255","13,481","33,640","21,281","25,695","39,459","32,486","33,026","27,301","23,450",,"24,967","36,633","376,319","36,835","41,889","38,330","57,050","18,500","49,396","48,854","34,169","51,296",,,,,
2020년09월_계_0~9세,"102,350","21,405","2,344","1,933","1,595","3,203",337,232,"1,295","1,598","4,949","3,221",698,"43,650","3,449",,"3,603","1,910","4,433","1,018","3,145","1,867","3,247","3,417","2,768","3,608","2,704","2,992",,"2,029","3,460","37,295","2,804","4,797","3,646","5,232","1,535","5,807","4,865","3,458","5,151",,,,,
2020년09월_계_10~19세,"123,747","27,015","3,913","2,351","1,805","1,817",579,"1,145","3,159","2,216","4,473","4,384","1,173","51,105","3,667",,"3,566","1,291","3,455","1,312","4,360","2,151","2,444","4,866","3,109","5,737","4,744","2,997",,"2,851","4,555","45,627","3,715","5,840","5,310","7,177","1,608","5,360","6,231","4,250","6,136",,,,,
2020년09월_계_20~29세,"136,992","34,423","4,700","3,283","2,128","1,958",752,909,"2,526","4,328","7,101","4,848","1,890","56,204","5,134",,"3,812","2,486","6,692","1,947","3,984","2,507","4,869","4,284","4,103","3,492","3,091","2,200",,"3,424","4,179","46,365","5,456","4,916","4,077","7,810","2,808","5,558","6,353","3,886","5,501",,,,,
2020년09월_계_30~39세,"146,871","33,992","3,966","3,035","2,344","4,234",732,736,"2,339","3,151","7,453","4,590","1,412","60,501","6,291",,"4,848","3,233","7,968","1,896","3,997","2,787","4,625","4,332","4,186","3,503","2,526","3,177",,"2,876","4,256","52,378","6,228","6,358","4,137","7,108","3,287","8,026","6,900","4,385","5,949",,,,,
2020년09월_계_40~49세,"200,558","43,464","6,026","4,406","3,342","4,016","1,082","1,023","3,096","3,875","7,744","6,816","2,038","84,190","6,690",,"6,044","2,769","7,101","2,436","6,601","3,798","4,395","7,821","5,430","7,958","6,335","4,952",,"4,510","7,350","72,904","6,169","9,105","8,073","11,031","3,045","9,575","9,388","6,612","9,906",,,,,
2020년09월_계_50~59세,"163,743","43,059","5,813","4,613","3,704","3,117","1,612","1,637","3,407","4,184","6,317","6,061","2,594","66,002","6,217",,"4,732","2,751","6,498","2,271","5,081","3,488","3,168","5,773","5,075","4,520","4,156","2,650",,"4,352","5,270","54,682","5,432","5,714","5,679","8,623","2,868","6,950","7,012","4,998","7,406",,,,,
2020년09월_계_60~69세,"104,504","30,578","3,582","3,539","2,885","2,814","1,633","1,770","2,538","2,887","3,733","3,255","1,942","40,637","3,891",,"2,519","1,648","3,493","1,246","3,312","2,621","1,770","4,292","3,706","2,064","1,932","2,005",,"2,652","3,486","33,289","3,587","2,404","3,437","5,023","1,745","4,556","4,078","3,031","5,428",,,,,
2020년09월_계_70~79세,"65,448","15,948","1,904","1,847","1,507","1,499",935,961,"1,186","1,464","1,870","1,823",952,"26,162","2,386",,"1,149",744,"1,853",908,"2,188","1,427",808,"3,198","2,793","1,455","1,212","1,681",,"1,537","2,823","23,338","2,330","1,745","2,794","3,356","1,058","2,550","2,784","2,498","4,223",,,,,
2020년09월_계_80~89세,"27,170","7,344",930,782,740,611,485,645,603,667,750,778,353,"10,782","1,023",,450,567,643,398,844,548,327,"1,277","1,148",602,515,715,,638,"1,087","9,044",974,899,"1,037","1,481",455,850,"1,068",903,"1,377",,,,,
